dHA dDec
0.0 +0.0
-1.52119007264 -1.01337000373
-1.05313158875 -1.01337000373
-0.585073104861 -1.01337000373
-0.117014620972 -1.01337000373
0.351043862917 -1.01337000373
0.819102346805 -1.01337000373
1.28716083069 -1.01337000373
-1.28716083069 -0.60802200224
-0.819102346805 -0.60802200224
-0.351043862917 -0.60802200224
0.117014620972 -0.60802200224
0.585073104861 -0.60802200224
1.05313158875 -0.60802200224
1.52119007264 -0.60802200224
-1.05313158875 -0.202674000747
-0.585073104861 -0.202674000747
-0.117014620972 -0.202674000747
0.351043862917 -0.202674000747
0.819102346805 -0.202674000747
1.28716083069 -0.202674000747
-1.28716083069 +0.202674000747
-0.819102346805 +0.202674000747
-0.351043862917 +0.202674000747
0.117014620972 +0.202674000747
0.585073104861 +0.202674000747
1.05313158875 +0.202674000747
-1.05313158875 +0.60802200224
-0.585073104861 +0.60802200224
-0.117014620972 +0.60802200224
0.351043862917 +0.60802200224
0.819102346805 +0.60802200224
1.28716083069 +0.60802200224
-1.28716083069 +1.01337000373
-0.819102346805 +1.01337000373
-0.351043862917 +1.01337000373
0.117014620972 +1.01337000373
0.585073104861 +1.01337000373
1.05313158875 +1.01337000373
1.52119007264 +1.01337000373
